# This is Supplementary Table 2 with some extra information from https://cgl.gi.ucsc.edu/data/cactus/Zoonomia-Supplemental-tables.xlsx,,,,,,,,
Order,Family,Species,Common Name,label,Source,Accession,IUCN,Echolocating
RODENTIA,Caviidae,Hydrochoerus hydrochaeris,Capybara,Hydrochoerus_hydrochaeris,1. Zoonomia,GCA_004027455.1,LC,N
RODENTIA,Chinchillidae,Chinchilla lanigera,Long-tailed chinchilla,Chinchilla_lanigera,2. Existing assembly,GCF_000276665.1,EN,N
RODENTIA,Cricetidae,Ellobius lutescens,Transcaucasian mole vole,Ellobius_lutescens,2. Existing assembly,GCA_001685075.1,LC,N
RODENTIA,Cricetidae,Ellobius talpinus,Northern mole vole,Ellobius_talpinus,2. Existing assembly,GCA_001685095.1,LC,N
RODENTIA,Cricetidae,Mesocricetus auratus,Golden hamster,Mesocricetus_auratus,2. Existing assembly,GCF_000349665.1,VU,N
RODENTIA,Cricetidae,Microtus ochrogaster,Prairie vole,Microtus_ochrogaster,2. Existing assembly,GCF_000317375.1,LC,N
RODENTIA,Cricetidae,Ondatra zibethicus,Muskrat,Ondatra_zibethicus,1. Zoonomia,GCA_004026605.1,LC,N
RODENTIA,Cricetidae,Onychomys torridus,Scorpion mouse,Onychomys_torridus,1. Zoonomia,GCA_004026725.1,LC,N
RODENTIA,Cricetidae,Peromyscus maniculatus,Prairie deer mouse,Peromyscus_maniculatus,2. Existing assembly,GCF_000500345.1,LC,N
RODENTIA,Cricetidae,Sigmodon hispidus,Hispid cotton rat,Sigmodon_hispidus,1. Zoonomia,GCA_004025045.1,LC,N
RODENTIA,Ctenodactylidae,Ctenodactylus gundi,Common gundi,Ctenodactylus_gundi,1. Zoonomia,GCA_004027205.1,LC,N
RODENTIA,Ctenomyidae,Ctenomys sociabilis,Social tuco-tuco,Ctenomys_sociabilis,1. Zoonomia,GCA_004027165.1,CR,N
RODENTIA,Cuniculidae,Cuniculus paca,Lowland paca,Cuniculus_paca,1. Zoonomia,GCA_004365215.1,LC,N
RODENTIA,Dasyproctidae,Dasyprocta punctata,Central American agouti,Dasyprocta_punctata,1. Zoonomia,GCA_004363535.1,LC,N
RODENTIA,Dinomyidae,Dinomys branickii,Pacarana,Dinomys_branickii,1. Zoonomia,GCA_004027595.1,LC,N
RODENTIA,Dipodidae,Allactaga bullata,Gobi jerboa,Allactaga_bullata,1. Zoonomia,GCA_004027895.1,LC,N
RODENTIA,Dipodidae,Jaculus jaculus,Lesser egyptian jerboa,Jaculus_jaculus,2. Existing assembly,GCF_000280705.1,LC,N
RODENTIA,Dipodidae,Zapus hudsonius,Meadow jumping mouse,Zapus_hudsonius,1. Zoonomia,GCA_004024765.1,LC,N
RODENTIA,Gliridae,Glis glis,Edible dormouse,Glis_glis,1. Zoonomia,GCA_004027185.1,LC,N
RODENTIA,Gliridae,Graphiurus murinus,Woodland doormouse,Graphiurus_murinus,1. Zoonomia,GCA_004027655.1,LC,N
RODENTIA,Gliridae,Muscardinus avellanarius,Hazel dormouse,Muscardinus_avellanarius,1. Zoonomia,GCA_004027005.1,LC,N
RODENTIA,Heteromyidae,Dipodomys ordii,Ord's kangaroo rat,Dipodomys_ordii,2. Existing assembly,GCF_000151885.1,LC,N
RODENTIA,Heteromyidae,Dipodomys stephensi,Stephen's kangaroo rat,Dipodomys_stephensi,1. Zoonomia,GCA_004024685.1,VU,N
RODENTIA,Heteromyidae,Perognathus longimembris pacificus,Pacific pocket mouse,Perognathus_longimembris_pacificus,1. Zoonomia,GCA_004363475.1,LC,N
RODENTIA,Hystricidae,Hystrix cristata,Northern crested porcupine,Hystrix_cristata,1. Zoonomia,GCA_004026905.1,LC,N
RODENTIA,Muridae,Acomys cahirinus,Cairo spiny mouse,Acomys_cahirinus,1. Zoonomia,GCA_004027535.1,LC,N
RODENTIA,Muridae,Meriones unguiculatus,Mongolian jird,Meriones_unguiculatus,1. Zoonomia,GCA_004026785.1,LC,N
RODENTIA,Muridae,Mus caroli,Ryukyu mouse,Mus_caroli,2. Existing assembly,GCA_900094665.2,LC,N
RODENTIA,Muridae,Mus musculus,House mouse,Mus_musculus,2. Existing assembly,GCF_000001635.26,LC,N
RODENTIA,Muridae,Mus pahari,Shrew mouse,Mus_pahari,2. Existing assembly,GCA_900095145.2,LC,N
RODENTIA,Muridae,Mus spretus,Western wild mouse,Mus_spretus,2. Existing assembly,GCA_001624865.1,LC,N
RODENTIA,Muridae,Psammomys obesus,Fat sand rat,Psammomys_obesus,2. Existing assembly,GCA_002215935.1,LC,N
RODENTIA,Muridae,Rattus norvegicus,Norway rat,Rattus_norvegicus,2. Existing assembly,GCF_000001895.5,LC,N
RODENTIA,Myocastoridae,Myocastor coypus,Coypu,Myocastor_coypus,1. Zoonomia,GCA_004027025.1,LC,N
RODENTIA,Nesomyidae,Cricetomys gambianus,Gambian pouched rat,Cricetomys_gambianus,1. Zoonomia,GCA_004027575.1,LC,N
RODENTIA,Nesomyidae,Cricetulus griseus,Chinese hamster,Cricetulus_griseus,2. Existing assembly,GCA_900186095.1,LC,N
RODENTIA,Octodontidae,Octodon degus,Degu,Octodon_degus,2. Existing assembly,GCF_000260255.1,LC,N
RODENTIA,Petromuridae,Petromus typicus,Dassie rat,Petromus_typicus,1. Zoonomia,GCA_004026965.1,LC,N
RODENTIA,Sciuridae,Ictidomys tridecemlineatus,Thirteen-lined ground squirrel,Ictidomys_tridecemlineatus,2. Existing assembly,GCF_000236235.1,LC,N
RODENTIA,Sciuridae,Marmota marmota,Alpine marmot,Marmota_marmota,2. Existing assembly,GCF_001458135.1,LC,N
RODENTIA,Sciuridae,Spermophilus dauricus,Daurian ground squirrel,Spermophilus_dauricus,2. Existing assembly,GCA_002406435.1,LC,N
RODENTIA,Sciuridae,Xerus inauris,Cape ground squirrel,Xerus_inauris,1. Zoonomia,GCA_004024805.1,LC,N
RODENTIA,Spalacidae,Nannospalax galili,Upper galilee mountains blind mole rat,Nannospalax_galili,2. Existing assembly,GCF_000622305.1,DD,N
RODENTIA,Thryonomyidae,Thryonomys swinderianus,Greater cane rat,Thryonomys_swinderianus,1. Zoonomia,GCA_004025085.1,LC,N
SCANDENTIA,Tupaiidae,Tupaia belangeri chinensis,Northern tree shrew,Tupaia_belangeri_chinensis,2. Existing assembly,GCF_000334495.1,LC,N
SCANDENTIA,Tupaiidae,Tupaia tana,Large treeshrew,Tupaia_tana,1. Zoonomia,GCA_004365275.1,LC,N
SIRENIA,Trichechidae,Trichechus manatus,Florida manatee,Trichechus_manatus,2. Existing assembly,GCF_000243295.1,EN,N
TUBULIDENTATA,Orycteropodidae,Orycteropus afer,Aardvark,Orycteropus_afer,1. Zoonomia,GCA_004365145.1,LC,N
